,name,gas-name,gas-CriticalTemp,gas-CriticalPressure,gas-AcentricFactor,gas-MolecularWeight,gas-MeltPoint,gas-BoilingPoint,temperature,pressure
172,AHUTIH_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
173,AJAKON_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
174,AJAMEF_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
175,AJAYIT_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
176,AJIGIL_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
177,AJINOY_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
178,AJOTEY_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
179,AJOVEB_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
180,AJOXAA_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
181,AJUNOK_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
182,AKEDIF_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
183,AKIXEZ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
184,AKOBAF_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
185,AKOHEO_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
186,AKOXIJ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
187,AKUHOD01_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
188,AKUHOD03_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
189,AKUHOD_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
190,AKUKUO_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
191,ALAHUS_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
192,ALALUU01_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
193,ALALUU_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
194,ALAMUW_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
195,ALANAD_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
196,ALATAK_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
197,ALEJAE_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
198,ALEJEI_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
199,ALEJIM_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
200,ALEQIT_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
201,ALIBUT_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
202,ALICAA_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
203,ALIFUY_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
204,ALIPEQ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
205,ALIXAU_clean_h,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
206,ALIXOJ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
207,ALIXUP_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
208,ALOLES_ion_b,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
209,ALOLET_charged,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
210,ALOLIX_charged,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
211,ALOLIY_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
212,ALOLOD_charged,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
213,ALONEV_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
214,ALUJEX_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
215,ALUJIB_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
216,ALUJOH_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
217,ALUJUN_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
218,ALUKAU_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
219,ALUKIC_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
220,ALUKOI_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
221,ALUKUO_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
222,ALULAV_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
223,ALULEZ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
224,ALULID_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
225,ALURAB_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
226,ALUREF_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
227,ALURIJ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
228,am301365h_si_002_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
229,AMAFOK_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
230,AMAGAX_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
